"","cheapest"
"cheap",0.14
"cost",0.14
"expensive",0.14
"option",0.14
"prices",0.14
"price",0.13
"cheaper",0.12
"drivers",0.12
"pay",0.12
"ask",0.11
"costs",0.11
"driver",0.11
"expect",0.11
"find",0.11
"get",0.11
"way",0.11
"always",0.1
"budget",0.1
"clean",0.1
"money",0.1
"night",0.1
"paying",0.1
"per",0.1
"probably",0.1
"taxi",0.1
"taxis",0.1
"usually",0.1
"wallet",0.1
"atms",0.09
"beer",0.09
"better",0.09
"bit",0.09
"buy",0.09
"cards",0.09
"charge",0.09
"check",0.09
"drink",0.09
"even",0.09
"go",0.09
"internet",0.09
"locals",0.09
"make",0.09
"may",0.09
"might",0.09
"often",0.09
"rate",0.09
"sometimes",0.09
"sure",0.09
"ticket",0.09
"tickets",0.09
"tipping",0.09
"try",0.09
"visa",0.09
"want",0.09
"will",0.09
"'re",0.08
"'s",0.08
"almost",0.08
"although",0.08
"around",0.08
"avoid",0.08
"bars",0.08
"book",0.08
"buses",0.08
"card",0.08
"case",0.08
"common",0.08
"crowded",0.08
"currency",0.08
"decent",0.08
"depending",0.08
"dishes",0.08
"dorm",0.08
"drinks",0.08
"especially",0.08
"european",0.08
"fixed",0.08
"foreign",0.08
"generally",0.08
"going",0.08
"good",0.08
"hotels",0.08
"keep",0.08
"least",0.08
"leave",0.08
"let",0.08
"like",0.08
"min",0.08
"mobile",0.08
"need",0.08
"negotiate",0.08
"nice",0.08
"note",0.08
"operate",0.08
"passport",0.08
"places",0.08
"prepaid",0.08
"rates",0.08
"room",0.08
"rooms",0.08
"sell",0.08
"single",0.08
"staff",0.08
"start",0.08
"terminal",0.08
"travel",0.08
"use",0.08
"wait",0.08
"wifi",0.08
"able",0.07
"accept",0.07
"amount",0.07
"beware",0.07
"booking",0.07
"bus",0.07
"buying",0.07
"can",0.07
"cases",0.07
"companies",0.07
"compared",0.07
"countries",0.07
"double",0.07
"english",0.07
"every",0.07
"far",0.07
"fare",0.07
"fastest",0.07
"food",0.07
"free",0.07
"friendly",0.07
"getting",0.07
"hard",0.07
"higher",0.07
"know",0.07
"leaving",0.07
"less",0.07
"offer",0.07
"people",0.07
"possible",0.07
"private",0.07
"quite",0.07
"safe",0.07
"tend",0.07
"time",0.07
"traffic",0.07
"trying",0.07
"walk",0.07
"without",0.07
