"","clubs"
"bars",0.24
"club",0.18
"night",0.17
"dance",0.14
"nightlife",0.14
"shopping",0.14
"music",0.13
"pubs",0.13
"trendy",0.13
"djs",0.12
"drinks",0.12
"cheap",0.11
"party",0.11
"tram",0.11
"avoid",0.1
"beer",0.1
"card",0.1
"city's",0.1
"expensive",0.1
"find",0.1
"football",0.1
"gay",0.1
"often",0.1
"play",0.1
"prices",0.1
"streets",0.1
"venues",0.1
"young",0.1
"always",0.09
"best",0.09
"busy",0.09
"crowded",0.09
"different",0.09
"drinking",0.09
"drivers",0.09
"electronic",0.09
"especially",0.09
"european",0.09
"every",0.09
"fares",0.09
"floor",0.09
"generally",0.09
"league",0.09
"live",0.09
"nightclub",0.09
"nightclubs",0.09
"offer",0.09
"playing",0.09
"plays",0.09
"popular",0.09
"quality",0.09
"safe",0.09
"stadium",0.09
"student",0.09
"tickets",0.09
"try",0.09
"university",0.09
"usually",0.09
"almost",0.08
"although",0.08
"bar",0.08
"centre",0.08
"charge",0.08
"choice",0.08
"cinema",0.08
"compared",0.08
"cricket",0.08
"crowd",0.08
"even",0.08
"events",0.08
"expect",0.08
"fast",0.08
"free",0.08
"hosts",0.08
"late",0.08
"less",0.08
"like",0.08
"lively",0.08
"looking",0.08
"many",0.08
"mix",0.08
"modern",0.08
"mostly",0.08
"nights",0.08
"number",0.08
"packed",0.08
"parties",0.08
"pay",0.08
"price",0.08
"range",0.08
"real",0.08
"sometimes",0.08
"sports",0.08
"stores",0.08
"students",0.08
"sure",0.08
"system",0.08
"taxi",0.08
"taxis",0.08
"tend",0.08
"throughout",0.08
"traffic",0.08
"trying",0.08
"use",0.08
"variety",0.08
"venue",0.08
"want",0.08
"wide",0.08
"'re",0.07
"areas",0.07
"cafes",0.07
"cards",0.07
"cheaper",0.07
"check",0.07
"chic",0.07
"common",0.07
"companies",0.07
"cost",0.07
"crime",0.07
"disco",0.07
"drugs",0.07
"drunken",0.07
"found",0.07
"hip",0.07
"hotels",0.07
"include",0.07
"jazz",0.07
"keep",0.07
"know",0.07
"large",0.07
"lined",0.07
"lines",0.07
"locals",0.07
"lot",0.07
"matches",0.07
"meet",0.07
"note",0.07
"ones",0.07
"operate",0.07
"outside",0.07
"pedestrian",0.07
"people",0.07
"places",0.07
"police",0.07
"refuse",0.07
"regular",0.07
"reputation",0.07
"scene",0.07
"selection",0.07
"services",0.07
"shops",0.07
"shows",0.07
"ticket",0.07
"uk",0.07
"valid",0.07
"well",0.07
