"","crowd"
"bar",0.15
"younger",0.15
"music",0.14
"live",0.13
"dance",0.12
"nights",0.12
"always",0.11
"atmosphere",0.11
"night",0.11
"selection",0.11
"bars",0.1
"beer",0.1
"every",0.1
"lively",0.1
"students",0.1
"attracts",0.09
"bands",0.09
"draws",0.09
"drinks",0.09
"food",0.09
"gay",0.09
"good",0.09
"older",0.09
"sandwiches",0.09
"seating",0.09
"student",0.09
"university",0.09
"upstairs",0.09
"usually",0.09
"young",0.09
"bit",0.08
"chain",0.08
"cheap",0.08
"clubs",0.08
"crowded",0.08
"djs",0.08
"downstairs",0.08
"drink",0.08
"eclectic",0.08
"expensive",0.08
"friendly",0.08
"games",0.08
"generally",0.08
"hip",0.08
"locals",0.08
"looking",0.08
"lounge",0.08
"lunch",0.08
"menu",0.08
"nightclub",0.08
"offer",0.08
"place",0.08
"play",0.08
"popular",0.08
"pub",0.08
"saturday",0.08
"smoking",0.08
"special",0.08
"staff",0.08
"streets",0.08
"try",0.08
"venue",0.08
"weekends",0.08
"wide",0.08
"artists",0.07
"beers",0.07
"behind",0.07
"best",0.07
"busy",0.07
"club",0.07
"dinner",0.07
"especially",0.07
"excellent",0.07
"features",0.07
"floor",0.07
"great",0.07
"hosts",0.07
"irish",0.07
"italian",0.07
"nightlife",0.07
"often",0.07
"opened",0.07
"playing",0.07
"plays",0.07
"relaxed",0.07
"restaurant",0.07
"sure",0.07
"table",0.07
"tends",0.07
"variety",0.07
"venues",0.07
"watch",0.07
