"","excellent"
"good",0.19
"food",0.16
"best",0.15
"great",0.15
"quality",0.15
"selection",0.15
"views",0.15
"friendly",0.14
"bar",0.13
"menu",0.13
"offers",0.13
"prices",0.13
"restaurant",0.13
"value",0.13
"nice",0.12
"offer",0.12
"offering",0.12
"try",0.12
"well",0.12
"always",0.11
"atmosphere",0.11
"bars",0.11
"dishes",0.11
"popular",0.11
"reasonable",0.11
"rooms",0.11
"staff",0.11
"variety",0.11
"worth",0.11
"beer",0.1
"cheap",0.1
"coffee",0.1
"delicious",0.1
"expensive",0.1
"fantastic",0.1
"find",0.1
"fish",0.1
"fresh",0.1
"just",0.1
"lunch",0.1
"music",0.1
"often",0.1
"place",0.1
"range",0.1
"serves",0.1
"shops",0.1
"wide",0.1
"wine",0.1
"amazing",0.09
"better",0.09
"bit",0.09
"cafe",0.09
"choice",0.09
"clean",0.09
"cuisine",0.09
"dining",0.09
"end",0.09
"especially",0.09
"fine",0.09
"free",0.09
"helpful",0.09
"hotel",0.09
"internet",0.09
"live",0.09
"local",0.09
"lovely",0.09
"make",0.09
"modern",0.09
"night",0.09
"nights",0.09
"open",0.09
"quiet",0.09
"recently",0.09
"relaxed",0.09
"run",0.09
"seafood",0.09
"service",0.09
"serving",0.09
"slightly",0.09
"style",0.09
"top",0.09
"vegetarian",0.09
"walk",0.09
"walking",0.09
"wines",0.09
"'re",0.08
"ales",0.08
"although",0.08
"ask",0.08
"authentic",0.08
"available",0.08
"beers",0.08
"book",0.08
"breakfast",0.08
"budget",0.08
"check",0.08
"close",0.08
"courses",0.08
"crowded",0.08
"decent",0.08
"drinks",0.08
"even",0.08
"experience",0.08
"family",0.08
"floor",0.08
"found",0.08
"full",0.08
"generally",0.08
"highly",0.08
"include",0.08
"including",0.08
"italian",0.08
"kitchen",0.08
"large",0.08
"little",0.08
"location",0.08
"look",0.08
"looking",0.08
"luxury",0.08
"making",0.08
"many",0.08
"meal",0.08
"meals",0.08
"note",0.08
"order",0.08
"outdoor",0.08
"outside",0.08
"parking",0.08
"plenty",0.08
"price",0.08
"priced",0.08
"private",0.08
"real",0.08
"reasonably",0.08
"right",0.08
"room",0.08
"seating",0.08
"set",0.08
"shop",0.08
"short",0.08
"streets",0.08
"student",0.08
"superb",0.08
"sure",0.08
"view",0.08
"warm",0.08
"wonderful",0.08
"'s",0.07
"almost",0.07
"art",0.07
"balcony",0.07
"beautiful",0.07
"boutique",0.07
"chef",0.07
"crowd",0.07
"everything",0.07
"extremely",0.07
"garden",0.07
"heart",0.07
"hostel",0.07
"lively",0.07
"makes",0.07
"market",0.07
"meat",0.07
"owner",0.07
"pay",0.07
"places",0.07
"pleasant",0.07
"plus",0.07
"pool",0.07
"prepared",0.07
"pub",0.07
"quite",0.07
"shopping",0.07
"side",0.07
"start",0.07
"swimming",0.07
"tasty",0.07
"though",0.07
"throughout",0.07
"tourist",0.07
"tours",0.07
"wifi",0.07
"will",0.07
