"","highly"
"generally",0.12
"avoid",0.11
"even",0.11
"expensive",0.11
"extremely",0.11
"illegal",0.11
"often",0.11
"safe",0.11
"although",0.1
"always",0.1
"better",0.1
"common",0.1
"drivers",0.1
"pay",0.1
"sometimes",0.1
"ask",0.09
"dangerous",0.09
"especially",0.09
"expect",0.09
"keep",0.09
"less",0.09
"make",0.09
"may",0.09
"money",0.09
"note",0.09
"offer",0.09
"rarely",0.09
"regarded",0.09
"sure",0.09
"though",0.09
"use",0.09
"usually",0.09
"without",0.09
"accept",0.08
"advised",0.08
"apply",0.08
"aware",0.08
"best",0.08
"card",0.08
"cheap",0.08
"consider",0.08
"considered",0.08
"countries",0.08
"currency",0.08
"dishes",0.08
"driver",0.08
"due",0.08
"excellent",0.08
"exchange",0.08
"foreign",0.08
"know",0.08
"likely",0.08
"locals",0.08
"might",0.08
"mind",0.08
"passport",0.08
"paying",0.08
"police",0.08
"prices",0.08
"problem",0.08
"quality",0.08
"quite",0.08
"rate",0.08
"rated",0.08
"require",0.08
"respect",0.08
"respected",0.08
"simply",0.08
"tourists",0.08
"travel",0.08
"typically",0.08
"unless",0.08
"visa",0.08
"wear",0.08
"widely",0.08
"will",0.08
"women",0.08
"'re",0.07
"advance",0.07
"advisable",0.07
"almost",0.07
"another",0.07
"atms",0.07
"beer",0.07
"booking",0.07
"cards",0.07
"care",0.07
"careful",0.07
"carry",0.07
"check",0.07
"difficult",0.07
"drink",0.07
"drinking",0.07
"either",0.07
"ensure",0.07
"experience",0.07
"find",0.07
"found",0.07
"help",0.07
"however",0.07
"large",0.07
"least",0.07
"limited",0.07
"making",0.07
"much",0.07
"number",0.07
"official",0.07
"please",0.07
"poor",0.07
"popular",0.07
"prepaid",0.07
"prepared",0.07
"range",0.07
"strong",0.07
"tipping",0.07
"traffic",0.07
"try",0.07
"violent",0.07
"visas",0.07
"well",0.07
