"","leaving"
"leave",0.15
"arriving",0.13
"ask",0.12
"leaves",0.11
"may",0.11
"might",0.11
"pay",0.11
"wait",0.11
"buses",0.1
"going",0.1
"price",0.1
"return",0.1
"taxi",0.1
"trip",0.1
"'re",0.09
"cost",0.09
"currency",0.09
"drivers",0.09
"exchange",0.09
"expensive",0.09
"longer",0.09
"make",0.09
"money",0.09
"need",0.09
"passport",0.09
"returning",0.09
"sure",0.09
"take",0.09
"visa",0.09
"waiting",0.09
"will",0.09
"able",0.08
"afternoon",0.08
"around",0.08
"avoid",0.08
"boats",0.08
"buy",0.08
"costs",0.08
"customs",0.08
"departure",0.08
"depending",0.08
"driver",0.08
"entering",0.08
"even",0.08
"every",0.08
"expect",0.08
"get",0.08
"getting",0.08
"give",0.08
"least",0.08
"luggage",0.08
"morning",0.08
"night",0.08
"note",0.08
"passengers",0.08
"paying",0.08
"remember",0.08
"slow",0.08
"sometimes",0.08
"stamp",0.08
"taxis",0.08
"terminal",0.08
"ticket",0.08
"time",0.08
"tourists",0.08
"usually",0.08
"visas",0.08
"want",0.08
"way",0.08
"without",0.08
"already",0.07
"always",0.07
"arrive",0.07
"aware",0.07
"bus",0.07
"case",0.07
"charge",0.07
"cheapest",0.07
"companies",0.07
"day",0.07
"either",0.07
"entry",0.07
"especially",0.07
"less",0.07
"likely",0.07
"often",0.07
"per",0.07
"police",0.07
"prices",0.07
"shared",0.07
"takes",0.07
"taking",0.07
"tickets",0.07
"times",0.07
"trying",0.07
"vary",0.07
