"","speaking"
"english",0.29
"language",0.2
"speak",0.18
"younger",0.13
"speakers",0.12
"spoken",0.12
"dominant",0.11
"generation",0.11
"languages",0.11
"official",0.11
"countries",0.1
"drivers",0.1
"foreign",0.1
"schools",0.1
"staff",0.1
"taught",0.1
"avoid",0.09
"cards",0.09
"common",0.09
"especially",0.09
"europe",0.09
"even",0.09
"exchange",0.09
"generally",0.09
"know",0.09
"least",0.09
"likely",0.09
"often",0.09
"people",0.09
"political",0.09
"sim",0.09
"sometimes",0.09
"words",0.09
"accepted",0.08
"although",0.08
"always",0.08
"ask",0.08
"better",0.08
"bilingual",0.08
"clean",0.08
"currency",0.08
"due",0.08
"ethnic",0.08
"european",0.08
"help",0.08
"instead",0.08
"knowledge",0.08
"locals",0.08
"might",0.08
"money",0.08
"mostly",0.08
"need",0.08
"passport",0.08
"pay",0.08
"prevalent",0.08
"price",0.08
"russian",0.08
"spanish",0.08
"speaks",0.08
"try",0.08
"usually",0.08
"visa",0.08
"widely",0.08
"alps",0.07
"bars",0.07
"card",0.07
"cities",0.07
"domestic",0.07
"driver",0.07
"expect",0.07
"find",0.07
"foreigners",0.07
"friendly",0.07
"government",0.07
"like",0.07
"may",0.07
"much",0.07
"parts",0.07
"prices",0.07
"soviet",0.07
