"","two"
"three",0.16
"one",0.15
"every",0.11
"first",0.1
"four",0.1
"hours",0.1
"least",0.1
"offer",0.1
"per",0.1
"single",0.1
"usually",0.1
"cost",0.09
"day",0.09
"divided",0.09
"even",0.09
"half",0.09
"hour",0.09
"leave",0.09
"may",0.09
"night",0.09
"often",0.09
"room",0.09
"time",0.09
"accept",0.08
"also",0.08
"another",0.08
"around",0.08
"back",0.08
"blocks",0.08
"called",0.08
"companies",0.08
"different",0.08
"double",0.08
"expensive",0.08
"generally",0.08
"large",0.08
"last",0.08
"little",0.08
"note",0.08
"pay",0.08
"possible",0.08
"prices",0.08
"second",0.08
"side",0.08
"smaller",0.08
"takes",0.08
"ticket",0.08
"times",0.08
"travel",0.08
"trip",0.08
"walk",0.08
"without",0.08
"almost",0.07
"although",0.07
"ask",0.07
"away",0.07
"building",0.07
"buses",0.07
"charge",0.07
"costs",0.07
"depart",0.07
"five",0.07
"floors",0.07
"good",0.07
"journey",0.07
"less",0.07
"make",0.07
"need",0.07
"next",0.07
"number",0.07
"offers",0.07
"open",0.07
"option",0.07
"quite",0.07
"rooms",0.07
"separate",0.07
"staff",0.07
"taxis",0.07
"well",0.07
"will",0.07
"within",0.07
