"","value"
"excellent",0.13
"good",0.13
"money",0.13
"best",0.11
"expensive",0.11
"quality",0.1
"rooms",0.1
"better",0.09
"cost",0.09
"food",0.09
"free",0.09
"friendly",0.09
"internet",0.09
"pay",0.09
"price",0.09
"prices",0.09
"restaurant",0.09
"selection",0.09
"staff",0.09
"bit",0.08
"budget",0.08
"cheap",0.08
"cheaper",0.08
"choice",0.08
"clean",0.08
"coffees",0.08
"drinks",0.08
"great",0.08
"menu",0.08
"modern",0.08
"night",0.08
"notes",0.08
"offer",0.08
"range",0.08
"room",0.08
"slightly",0.08
"worth",0.08
"always",0.07
"avoid",0.07
"bars",0.07
"expect",0.07
"extra",0.07
"helpful",0.07
"hotel",0.07
"lunch",0.07
"menus",0.07
"offering",0.07
"offers",0.07
"star",0.07
"tend",0.07
"try",0.07
