"","walking"
"distance",0.25
"within",0.2
"walk",0.15
"around",0.11
"easy",0.1
"everything",0.1
"friendly",0.1
"get",0.1
"parking",0.1
"path",0.1
"paths",0.1
"shops",0.1
"street",0.1
"will",0.1
"bar",0.09
"bars",0.09
"best",0.09
"end",0.09
"excellent",0.09
"free",0.09
"good",0.09
"night",0.09
"open",0.09
"right",0.09
"small",0.09
"streets",0.09
"tour",0.09
"views",0.09
"ask",0.08
"back",0.08
"bicycle",0.08
"bike",0.08
"bit",0.08
"can",0.08
"cycling",0.08
"day",0.08
"expensive",0.08
"feel",0.08
"find",0.08
"food",0.08
"great",0.08
"just",0.08
"minutes",0.08
"music",0.08
"next",0.08
"nice",0.08
"offer",0.08
"outside",0.08
"pedestrian",0.08
"prices",0.08
"restaurant",0.08
"room",0.08
"run",0.08
"see",0.08
"short",0.08
"try",0.08
"view",0.08
"walks",0.08
"want",0.08
"way",0.08
"worth",0.08
"'re",0.07
"'s",0.07
"across",0.07
"atmosphere",0.07
"building",0.07
"car",0.07
"downtown",0.07
"enjoy",0.07
"hostel",0.07
"local",0.07
"look",0.07
"make",0.07
"minute",0.07
"quiet",0.07
"sit",0.07
"staff",0.07
"start",0.07
"sure",0.07
"take",0.07
"top",0.07
"trails",0.07
